customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
CUS00078,14,4,15220000.0,5,3,5,Champions
CUS00079,15,2,5072000.0,5,2,4,Loyal
CUS00080,0,3,4193000.0,5,2,3,Loyal
CUS00081,12,3,4413000.0,5,2,3,Loyal
CUS00082,10,6,12000000.0,5,3,5,Champions
CUS00083,11,3,7888000.0,5,2,4,Loyal
CUS00084,0,5,8083000.0,5,3,4,Loyal
CUS00085,148,1,4359000.0,2,1,3,At Risk
CUS00086,19,4,6696000.0,5,3,4,Loyal
CUS00087,11,4,14208000.0,5,3,5,Champions
CUS00088,3,5,9629000.0,5,3,4,Loyal
CUS00089,2,5,4946000.0,5,3,3,Loyal
CUS00090,2,4,10864000.0,5,3,5,Champions
CUS00091,12,2,2845000.0,5,2,3,Loyal
CUS00092,11,7,19517000.0,5,3,5,Champions
CUS00093,8,4,7242000.0,5,3,4,Loyal
CUS00094,1,5,9268000.0,5,3,4,Loyal
CUS00095,38,6,14336000.0,4,3,5,Loyal
CUS00096,5,6,5982000.0,5,3,4,Loyal
CUS00097,66,4,5696000.0,3,3,4,Loyal
CUS00098,13,9,13833000.0,5,4,5,Champions
CUS00099,1,7,9736000.0,5,3,4,Loyal
CUS00100,12,2,2227000.0,5,2,3,Loyal
CUS00101,8,5,8133000.0,5,3,4,Loyal
CUS00102,6,3,3153000.0,5,2,3,Loyal
CUS00103,3,8,15372000.0,5,4,5,Champions
CUS00104,31,3,5070000.0,4,2,4,Loyal
CUS00105,47,2,3707000.0,4,2,3,Needs Attention
CUS00106,38,7,7940000.0,4,3,4,Loyal
CUS00107,76,1,408000.0,3,1,1,Hibernating
CUS00108,2,3,10607000.0,5,2,5,Loyal
CUS00109,35,2,8430000.0,4,2,4,Loyal
CUS00110,8,2,2621000.0,5,2,3,Loyal
CUS00111,100,2,2187000.0,2,2,3,At Risk
CUS00112,10,3,2550000.0,5,2,3,Loyal
CUS00113,10,5,7356000.0,5,3,4,Loyal
CUS00114,2,5,9950000.0,5,3,4,Loyal
CUS00115,63,2,2668000.0,3,2,3,Needs Attention
CUS00116,16,6,8528000.0,5,3,4,Loyal
CUS00117,34,2,1986000.0,4,2,2,Needs Attention
CUS00118,6,2,3080000.0,5,2,3,Loyal
CUS00119,19,4,3692000.0,5,3,3,Loyal
CUS00120,5,4,4720000.0,5,3,3,Loyal
CUS00121,8,4,7938000.0,5,3,4,Loyal
CUS00122,6,5,9677000.0,5,3,4,Loyal
CUS00123,11,5,4977000.0,5,3,3,Loyal
CUS00124,43,1,2840000.0,4,1,3,Needs Attention
CUS00125,8,4,8906000.0,5,3,4,Loyal
CUS00126,11,2,2359000.0,5,2,3,Loyal
CUS00127,7,7,23450000.0,5,3,5,Champions
CUS00128,5,4,6057000.0,5,3,4,Loyal
CUS00129,7,4,7080000.0,5,3,4,Loyal
CUS00130,9,2,5414000.0,5,2,4,Loyal
CUS00131,4,3,8345000.0,5,2,4,Loyal
CUS00132,2,5,9924000.0,5,3,4,Loyal
CUS00133,26,5,4435000.0,5,3,3,Loyal
CUS00134,111,3,2871000.0,2,2,3,At Risk
CUS00135,5,3,5564000.0,5,2,4,Loyal
CUS00136,2,7,14295000.0,5,3,5,Champions
CUS00137,0,5,9471000.0,5,3,4,Loyal
CUS00138,14,3,4196000.0,5,2,3,Loyal
CUS00139,10,1,733000.0,5,1,2,Needs Attention
CUS00140,9,3,9531000.0,5,2,4,Loyal
CUS00141,6,8,9092000.0,5,4,4,Champions
CUS00142,13,3,2581000.0,5,2,3,Loyal
CUS00143,23,7,9562000.0,5,3,4,Loyal
CUS00144,2,5,7622000.0,5,3,4,Loyal
CUS00145,47,3,1969000.0,4,2,2,Needs Attention
CUS00146,51,4,8311000.0,4,3,4,Loyal
CUS00147,6,3,6587000.0,5,2,4,Loyal
CUS00148,21,5,7512000.0,5,3,4,Loyal
CUS00149,36,4,7171000.0,4,3,4,Loyal
CUS00150,55,5,7020000.0,4,3,4,Loyal
CUS00151,0,3,6430000.0,5,2,4,Loyal
CUS00152,2,5,6238000.0,5,3,4,Loyal
CUS00153,13,5,8464000.0,5,3,4,Loyal
CUS00154,14,2,7529000.0,5,2,4,Loyal
CUS00155,179,1,1153000.0,2,1,2,Hibernating
CUS00156,33,3,1447000.0,4,2,2,Needs Attention
CUS00157,17,5,4845000.0,5,3,3,Loyal
CUS00158,14,5,3526000.0,5,3,3,Loyal
CUS00159,51,1,634000.0,4,1,2,Needs Attention
CUS00160,32,6,4877000.0,4,3,3,Loyal
CUS00161,24,3,3229000.0,5,2,3,Loyal
CUS00162,77,2,635000.0,3,2,2,Needs Attention
CUS00163,0,4,6654000.0,5,3,4,Loyal
CUS00164,4,6,9512000.0,5,3,4,Loyal
CUS00165,3,4,4715000.0,5,3,3,Loyal
CUS00166,5,4,8039000.0,5,3,4,Loyal
CUS00167,0,8,15658000.0,5,4,5,Champions
CUS00168,13,1,1998000.0,5,1,2,Needs Attention
CUS00169,9,4,4426000.0,5,3,3,Loyal
CUS00170,25,5,10221000.0,5,3,5,Champions
CUS00171,15,3,6395000.0,5,2,4,Loyal
CUS00172,30,5,4294000.0,5,3,3,Loyal
CUS00173,26,2,4743000.0,5,2,3,Loyal
CUS00174,15,4,11196000.0,5,3,5,Champions
CUS00175,15,8,17349000.0,5,4,5,Champions
CUS00176,76,2,3192000.0,3,2,3,Needs Attention
CUS00177,38,2,5707000.0,4,2,4,Loyal
CUS00178,70,2,2909000.0,3,2,3,Needs Attention
CUS00179,17,2,1548000.0,5,2,2,Needs Attention
CUS00180,26,6,5748000.0,5,3,4,Loyal
CUS00181,1,8,15009000.0,5,4,5,Champions
CUS00182,90,2,3018000.0,3,2,3,Needs Attention
CUS00183,0,8,17897000.0,5,4,5,Champions
CUS00185,36,5,6284000.0,4,3,4,Loyal
CUS00186,119,1,412000.0,2,1,1,Hibernating
CUS00187,5,4,5213000.0,5,3,4,Loyal
CUS00188,1,4,11530000.0,5,3,5,Champions
CUS00189,3,5,10523000.0,5,3,5,Champions
CUS00190,11,7,10667000.0,5,3,5,Champions
CUS00191,8,8,14472000.0,5,4,5,Champions
CUS00192,5,5,9255000.0,5,3,4,Loyal
CUS00193,48,1,1006000.0,4,1,2,Needs Attention
CUS00194,19,4,5296000.0,5,3,4,Loyal
CUS00195,14,2,2202000.0,5,2,3,Loyal
CUS00196,13,2,901000.0,5,2,2,Needs Attention
CUS00197,3,5,5565000.0,5,3,4,Loyal
CUS00198,1,7,10249000.0,5,3,5,Champions
CUS00199,3,1,2535000.0,5,1,3,Needs Attention
CUS00200,3,4,11315000.0,5,3,5,Champions
CUS00201,7,6,8363000.0,5,3,4,Loyal
CUS00203,4,2,2334000.0,5,2,3,Loyal
CUS00205,11,5,9329000.0,5,3,4,Loyal
CUS00206,2,2,6574000.0,5,2,4,Loyal
CUS00207,72,3,4275000.0,3,2,3,Needs Attention
CUS00209,9,6,11364000.0,5,3,5,Champions
CUS00210,13,3,8195000.0,5,2,4,Loyal
CUS00211,16,7,12479000.0,5,3,5,Champions
CUS00212,18,4,9900000.0,5,3,4,Loyal
CUS00213,0,5,9017000.0,5,3,4,Loyal
CUS00214,35,5,3903000.0,4,3,3,Loyal
CUS00215,21,5,8070000.0,5,3,4,Loyal
CUS00216,7,5,11884000.0,5,3,5,Champions
CUS00217,2,3,11055000.0,5,2,5,Loyal
CUS00218,13,4,7378000.0,5,3,4,Loyal
CUS00219,4,4,4655000.0,5,3,3,Loyal
CUS00220,14,5,9040000.0,5,3,4,Loyal
CUS00221,1,3,3089000.0,5,2,3,Loyal
CUS00222,15,4,8186000.0,5,3,4,Loyal
CUS00223,5,5,5652000.0,5,3,4,Loyal
CUS00224,5,3,2496000.0,5,2,3,Loyal
CUS00225,3,3,6260000.0,5,2,4,Loyal
CUS00226,0,3,6902000.0,5,2,4,Loyal
CUS00227,37,6,11410000.0,4,3,5,Loyal
CUS00228,38,2,4707000.0,4,2,3,Needs Attention
CUS00229,0,6,9906000.0,5,3,4,Loyal
CUS00230,27,2,3485000.0,5,2,3,Loyal
CUS00231,30,2,1645000.0,5,2,2,Needs Attention
CUS00232,12,4,3340000.0,5,3,3,Loyal
CUS00233,44,4,7380000.0,4,3,4,Loyal
CUS00234,108,1,4563000.0,2,1,3,At Risk
CUS00235,11,10,22683000.0,5,4,5,Champions
CUS00237,46,3,7474000.0,4,2,4,Loyal
CUS00238,0,9,17330000.0,5,4,5,Champions
CUS00239,13,4,7119000.0,5,3,4,Loyal
CUS00240,42,1,1168000.0,4,1,2,Needs Attention
CUS00241,1,4,7581000.0,5,3,4,Loyal
CUS00242,7,3,2780000.0,5,2,3,Loyal
CUS00243,13,3,8761000.0,5,2,4,Loyal
CUS00244,7,6,7948000.0,5,3,4,Loyal
CUS00245,14,3,3527000.0,5,2,3,Loyal
CUS00246,88,2,2518000.0,3,2,3,Needs Attention
CUS00247,23,3,3262000.0,5,2,3,Loyal
CUS00248,0,6,9424000.0,5,3,4,Loyal
CUS00249,7,4,8480000.0,5,3,4,Loyal
CUS00250,9,6,11065000.0,5,3,5,Champions
CUS00251,7,4,10207000.0,5,3,5,Champions
CUS00252,23,3,3156000.0,5,2,3,Loyal
CUS00253,22,2,1666000.0,5,2,2,Needs Attention
CUS00254,18,3,3417000.0,5,2,3,Loyal
CUS00255,52,1,2993000.0,4,1,3,Needs Attention
CUS00256,8,4,8853000.0,5,3,4,Loyal
CUS00257,1,8,15505000.0,5,4,5,Champions
CUS00258,1,9,8564000.0,5,4,4,Champions
CUS00259,8,3,5459000.0,5,2,4,Loyal
CUS00260,2,11,17619000.0,5,4,5,Champions
CUS00261,30,2,816000.0,5,2,2,Needs Attention
CUS00262,10,3,5689000.0,5,2,4,Loyal
CUS00263,6,5,5982000.0,5,3,4,Loyal
CUS00264,4,6,8702000.0,5,3,4,Loyal
CUS00265,29,3,3387000.0,5,2,3,Loyal
CUS00266,25,3,8439000.0,5,2,4,Loyal
CUS00267,20,3,8451000.0,5,2,4,Loyal
CUS00268,11,3,4174000.0,5,2,3,Loyal
CUS00270,22,8,12581000.0,5,4,5,Champions
CUS00271,16,5,8841000.0,5,3,4,Loyal
CUS00272,2,3,7003000.0,5,2,4,Loyal
CUS00273,8,3,6548000.0,5,2,4,Loyal
CUS00274,33,2,7566000.0,4,2,4,Loyal
CUS00275,34,2,4510000.0,4,2,3,Needs Attention
CUS00276,15,4,11451000.0,5,3,5,Champions
CUS00277,1,4,4458000.0,5,3,3,Loyal
CUS00278,23,4,9794000.0,5,3,4,Loyal
CUS00279,41,6,11310000.0,4,3,5,Loyal
CUS00280,35,3,3399000.0,4,2,3,Needs Attention
CUS00282,21,4,11588000.0,5,3,5,Champions
CUS00283,8,5,11162000.0,5,3,5,Champions
CUS00284,1,4,5394000.0,5,3,4,Loyal
CUS00285,18,4,4654000.0,5,3,3,Loyal
CUS00286,22,1,2443000.0,5,1,3,Needs Attention
CUS00287,15,6,12459000.0,5,3,5,Champions
CUS00288,13,4,7236000.0,5,3,4,Loyal
CUS00289,31,5,7238000.0,4,3,4,Loyal
CUS00290,7,6,8767000.0,5,3,4,Loyal
CUS00291,32,4,6811000.0,4,3,4,Loyal
CUS00292,11,2,2369000.0,5,2,3,Loyal
CUS00293,0,7,9663000.0,5,3,4,Loyal
CUS00294,24,5,8911000.0,5,3,4,Loyal
CUS00295,17,3,2510000.0,5,2,3,Loyal
CUS00296,2,4,10457000.0,5,3,5,Champions
CUS00297,6,7,16433000.0,5,3,5,Champions
CUS00298,45,4,7022000.0,4,3,4,Loyal
CUS00299,13,2,2280000.0,5,2,3,Loyal
CUS00300,5,2,3258000.0,5,2,3,Loyal
CUS00301,0,5,4058000.0,5,3,3,Loyal
CUS00302,28,3,4908000.0,5,2,3,Loyal
CUS00303,2,4,8300000.0,5,3,4,Loyal
CUS00304,58,2,1744000.0,4,2,2,Needs Attention
CUS00305,20,2,1746000.0,5,2,2,Needs Attention
CUS00306,13,5,5142000.0,5,3,4,Loyal
CUS00307,22,2,1704000.0,5,2,2,Needs Attention
CUS00308,1,4,6967000.0,5,3,4,Loyal
CUS00309,28,1,1585000.0,5,1,2,Needs Attention
CUS00310,0,3,8828000.0,5,2,4,Loyal
CUS00311,5,6,9164000.0,5,3,4,Loyal
CUS00312,14,4,13330000.0,5,3,5,Champions
CUS00313,16,5,5811000.0,5,3,4,Loyal
CUS00314,2,4,7309000.0,5,3,4,Loyal
CUS00315,10,5,7672000.0,5,3,4,Loyal
CUS00317,0,3,3444000.0,5,2,3,Loyal
CUS00318,41,1,622000.0,4,1,2,Needs Attention
CUS00319,18,3,7895000.0,5,2,4,Loyal
CUS00320,17,3,5196000.0,5,2,4,Loyal
CUS00321,40,2,5705000.0,4,2,4,Loyal
CUS00322,5,4,6078000.0,5,3,4,Loyal
CUS00323,6,2,3164000.0,5,2,3,Loyal
CUS00324,7,6,9949000.0,5,3,4,Loyal
CUS00325,0,6,11074000.0,5,3,5,Champions
CUS00326,0,5,8265000.0,5,3,4,Loyal
CUS00327,14,7,11822000.0,5,3,5,Champions
CUS00328,159,2,1897000.0,2,2,2,Hibernating
CUS00329,4,3,2391000.0,5,2,3,Loyal
CUS00330,10,5,4965000.0,5,3,3,Loyal
CUS00331,3,5,13560000.0,5,3,5,Champions
CUS00332,0,6,18092000.0,5,3,5,Champions
CUS00333,2,5,6826000.0,5,3,4,Loyal
CUS00334,7,4,5589000.0,5,3,4,Loyal
CUS00336,2,3,5906000.0,5,2,4,Loyal
CUS00337,7,4,8936000.0,5,3,4,Loyal
CUS00338,60,1,3126000.0,4,1,3,Needs Attention
CUS00339,2,7,12608000.0,5,3,5,Champions
CUS00340,13,5,4728000.0,5,3,3,Loyal
CUS00341,16,2,1386000.0,5,2,2,Needs Attention
CUS00342,3,4,4884000.0,5,3,3,Loyal
CUS00343,0,2,4930000.0,5,2,3,Loyal
CUS00344,2,8,19758000.0,5,4,5,Champions
CUS00345,329,1,3703000.0,1,1,3,At Risk
CUS00346,35,4,8746000.0,4,3,4,Loyal
CUS00347,36,2,863000.0,4,2,2,Needs Attention
CUS00348,3,7,8494000.0,5,3,4,Loyal
CUS00350,9,2,3453000.0,5,2,3,Loyal
CUS00351,7,5,9630000.0,5,3,4,Loyal
CUS00352,36,2,5093000.0,4,2,4,Loyal
CUS00353,3,4,9216000.0,5,3,4,Loyal
CUS00354,5,5,7918000.0,5,3,4,Loyal
CUS00355,11,6,9986000.0,5,3,4,Loyal
CUS00356,4,5,9893000.0,5,3,4,Loyal
CUS00357,12,2,1797000.0,5,2,2,Needs Attention
CUS00358,4,4,4345000.0,5,3,3,Loyal
CUS00359,9,3,4907000.0,5,2,3,Loyal
CUS00360,25,2,7177000.0,5,2,4,Loyal
CUS00361,6,4,3690000.0,5,3,3,Loyal
CUS00362,13,5,9585000.0,5,3,4,Loyal
CUS00363,18,8,9608000.0,5,4,4,Champions
CUS00364,4,2,2251000.0,5,2,3,Loyal
CUS00365,10,5,7324000.0,5,3,4,Loyal
CUS00366,16,4,8149000.0,5,3,4,Loyal
CUS00367,13,6,10425000.0,5,3,5,Champions
CUS00368,3,8,15207000.0,5,4,5,Champions
CUS00369,1,5,3104000.0,5,3,3,Loyal
CUS00371,13,7,14381000.0,5,3,5,Champions
CUS00372,16,6,9782000.0,5,3,4,Loyal
CUS00373,11,2,1663000.0,5,2,2,Needs Attention
CUS00374,93,2,3827000.0,2,2,3,At Risk
CUS00375,15,6,6716000.0,5,3,4,Loyal
CUS00376,26,4,5951000.0,5,3,4,Loyal
CUS00377,31,5,9513000.0,4,3,4,Loyal
CUS00378,8,7,13762000.0,5,3,5,Champions
CUS00379,2,3,7809000.0,5,2,4,Loyal
CUS00380,1,5,5862000.0,5,3,4,Loyal
CUS00381,153,2,8041000.0,2,2,4,At Risk
CUS00382,3,3,5794000.0,5,2,4,Loyal
CUS00383,13,6,5899000.0,5,3,4,Loyal
CUS00384,2,3,3115000.0,5,2,3,Loyal
CUS00385,30,2,4829000.0,5,2,3,Loyal
CUS00386,0,5,4926000.0,5,3,3,Loyal
CUS00388,10,6,8695000.0,5,3,4,Loyal
CUS00389,0,6,13304000.0,5,3,5,Champions
CUS00390,0,6,7466000.0,5,3,4,Loyal
CUS00391,0,8,8044000.0,5,4,4,Champions
CUS00392,2,1,121000.0,5,1,1,Needs Attention
CUS00393,2,3,3348000.0,5,2,3,Loyal
CUS00394,14,5,5071000.0,5,3,4,Loyal
CUS00395,0,7,14362000.0,5,3,5,Champions
CUS00396,5,5,9739000.0,5,3,4,Loyal
CUS00397,8,5,11819000.0,5,3,5,Champions
CUS00398,38,2,2249000.0,4,2,3,Needs Attention
CUS00399,2,5,6217000.0,5,3,4,Loyal
CUS00400,13,4,4028000.0,5,3,3,Loyal
CUS00401,0,3,6052000.0,5,2,4,Loyal
CUS00402,17,1,1748000.0,5,1,2,Needs Attention
CUS00403,6,2,1848000.0,5,2,2,Needs Attention
CUS00404,14,2,2315000.0,5,2,3,Loyal
CUS00405,20,4,5666000.0,5,3,4,Loyal
CUS00406,10,6,7897000.0,5,3,4,Loyal
CUS00407,29,6,14550000.0,5,3,5,Champions
CUS00408,16,3,6433000.0,5,2,4,Loyal
CUS00409,8,5,9522000.0,5,3,4,Loyal
CUS00410,5,5,4720000.0,5,3,3,Loyal
CUS00411,6,3,5071000.0,5,2,4,Loyal
CUS00412,14,5,11099000.0,5,3,5,Champions
CUS00413,4,8,10933000.0,5,4,5,Champions
CUS00414,9,4,7958000.0,5,3,4,Loyal
CUS00415,26,3,2514000.0,5,2,3,Loyal
CUS00416,5,4,5683000.0,5,3,4,Loyal
CUS00417,38,1,1270000.0,4,1,2,Needs Attention
CUS00418,0,2,6451000.0,5,2,4,Loyal
CUS00419,7,4,8470000.0,5,3,4,Loyal
CUS00420,17,5,6297000.0,5,3,4,Loyal
CUS00421,3,3,5604000.0,5,2,4,Loyal
CUS00422,25,3,3426000.0,5,2,3,Loyal
CUS00423,28,5,5594000.0,5,3,4,Loyal
CUS00424,9,4,4628000.0,5,3,3,Loyal
CUS00425,11,6,10703000.0,5,3,5,Champions
CUS00426,5,11,16157000.0,5,4,5,Champions
CUS00427,0,4,9164000.0,5,3,4,Loyal
CUS00428,13,4,4022000.0,5,3,3,Loyal
CUS00429,18,3,1866000.0,5,2,2,Needs Attention
CUS00430,9,7,6787000.0,5,3,4,Loyal
CUS00431,22,1,1855000.0,5,1,2,Needs Attention
CUS00432,11,4,8904000.0,5,3,4,Loyal
CUS00433,11,4,5359000.0,5,3,4,Loyal
CUS00434,38,3,6316000.0,4,2,4,Loyal
CUS00435,5,1,4291000.0,5,1,3,Needs Attention
CUS00436,4,6,11943000.0,5,3,5,Champions
CUS00437,26,4,6727000.0,5,3,4,Loyal
CUS00438,1,5,13071000.0,5,3,5,Champions
CUS00439,11,1,4160000.0,5,1,3,Needs Attention
CUS00440,22,1,888000.0,5,1,2,Needs Attention
CUS00441,20,3,4555000.0,5,2,3,Loyal
CUS00442,13,3,3701000.0,5,2,3,Loyal
CUS00443,30,2,1952000.0,5,2,2,Needs Attention
CUS00444,1,8,10686000.0,5,4,5,Champions
CUS00445,7,2,676000.0,5,2,2,Needs Attention
CUS00446,1,5,10258000.0,5,3,5,Champions
CUS00447,4,5,5783000.0,5,3,4,Loyal
CUS00448,109,2,4695000.0,2,2,3,At Risk
CUS00449,5,1,1473000.0,5,1,2,Needs Attention
CUS00450,15,8,17161000.0,5,4,5,Champions
CUS00451,3,5,7242000.0,5,3,4,Loyal
CUS00452,0,6,6840000.0,5,3,4,Loyal
CUS00453,34,1,385000.0,4,1,1,Hibernating
CUS00454,6,4,2715000.0,5,3,3,Loyal
CUS00455,9,6,6509000.0,5,3,4,Loyal
CUS00456,11,5,3410000.0,5,3,3,Loyal
CUS00457,31,4,7274000.0,4,3,4,Loyal
CUS00458,27,4,4075000.0,5,3,3,Loyal
CUS00459,13,1,1079000.0,5,1,2,Needs Attention
CUS00460,29,6,7089000.0,5,3,4,Loyal
CUS00461,8,3,1301000.0,5,2,2,Needs Attention
CUS00462,9,8,7193000.0,5,4,4,Champions
CUS00463,2,5,10593000.0,5,3,5,Champions
CUS00464,2,3,4772000.0,5,2,3,Loyal
CUS00465,26,3,3051000.0,5,2,3,Loyal
CUS00466,21,4,6362000.0,5,3,4,Loyal
CUS00467,31,7,12927000.0,4,3,5,Loyal
CUS00468,18,6,3849000.0,5,3,3,Loyal
CUS00469,16,4,7083000.0,5,3,4,Loyal
CUS00470,13,6,8058000.0,5,3,4,Loyal
CUS00471,27,4,3138000.0,5,3,3,Loyal
CUS00472,28,4,10702000.0,5,3,5,Champions
CUS00473,31,4,3682000.0,4,3,3,Loyal
CUS00474,16,6,13927000.0,5,3,5,Champions
CUS00475,58,2,3378000.0,4,2,3,Needs Attention
CUS00476,1,2,5872000.0,5,2,4,Loyal
CUS00477,7,3,3317000.0,5,2,3,Loyal
CUS00478,8,6,5329000.0,5,3,4,Loyal
CUS00479,2,2,1081000.0,5,2,2,Needs Attention
CUS00480,3,6,15226000.0,5,3,5,Champions
CUS00481,23,4,9065000.0,5,3,4,Loyal
CUS00482,95,1,4227000.0,2,1,3,At Risk
CUS00483,8,6,10716000.0,5,3,5,Champions
CUS00484,1,3,6752000.0,5,2,4,Loyal
CUS00485,35,2,3706000.0,4,2,3,Needs Attention
CUS00486,8,6,7803000.0,5,3,4,Loyal
CUS00487,7,7,11284000.0,5,3,5,Champions
CUS00488,21,4,3784000.0,5,3,3,Loyal
CUS00489,0,5,3942000.0,5,3,3,Loyal
CUS00490,0,8,9554000.0,5,4,4,Champions
CUS00491,14,5,8581000.0,5,3,4,Loyal
CUS00493,3,5,10647000.0,5,3,5,Champions
CUS00494,2,4,5060000.0,5,3,4,Loyal
CUS00495,36,2,1501000.0,4,2,2,Needs Attention
CUS00496,68,1,137000.0,3,1,1,Hibernating
CUS00497,12,2,4897000.0,5,2,3,Loyal
CUS00498,8,6,10515000.0,5,3,5,Champions
CUS00499,36,2,2349000.0,4,2,3,Needs Attention
